30-Day Campaign Builder,"A strategic AI workflow that creates four weeks of content: Week 1 Awareness, Week 2 Education, Week 3 Proof, Week 4 Action."
A/B Testing,Comparing two versions of something to see which performs better.
Acceptable Use,The approved ways staff or users may use AI tools.
Access Control,"Rules that determine who can see, use or edit information."
Accessibility,"Designing content, tools and communication so they can be used by people with different abilities and needs."
Accessibility Check,Reviewing content to make sure people with different needs can use or understand it.
Accountability,The principle that humans and organisations remain responsible for decisions and outcomes involving AI.
Act–Explain–Please,"A simple prompting formula: tell AI who to act as, explain the situation, then ask clearly for what you want."
Action,"The task performed after a trigger, such as sending a reply, creating a task or updating a spreadsheet."
Action Items,Tasks that need to be completed after a meeting or review.
Action Plan,"A list of steps, owners and timelines for completing a goal."
Admin Console,"A management area where organisations control user access, settings and security."
Agent,"An AI system that can work through tasks in multiple steps, sometimes using tools or making decisions along the way."
Agentic AI,AI designed to take more initiative across a multi-step task rather than only answering one prompt.
AI / Artificial Intelligence,"Software that can perform tasks that usually require human intelligence, such as understanding language, recognising patterns, generating content, or helping with decisions."
AI Agent,"AI that can plan and act toward a goal, often using tools, files, search, code or other systems."
AI Governance,"Policies, processes and responsibilities that guide how an organisation uses AI."
AI Literacy,"The ability to understand, use and evaluate AI responsibly."
AI Maturity,"How advanced an organisation is in adopting, governing and benefiting from AI."
AI Policy,An organisation’s rules for how AI should and should not be used.
AI Slop,"Low-quality AI-generated content that feels generic, robotic, over-excited, cliché-heavy, inaccurate or careless."
AI Tool,"The app or product people use to interact with AI, such as ChatGPT, Gemini, Claude, Canva, Midjourney or Copilot."
AI Workflow,"A repeatable process where AI helps draft, summarise, analyse, classify, transform or check information."
Alignment,"The process of making an AI model behave in ways that are useful, safe and consistent with human intentions."
Anonymisation,Removing details that identify a person or organisation.
API / Application Programming Interface,A way for software systems to connect and exchange information.
Approval Gate,A required human check before an AI-assisted workflow continues.
Approval Workflow,A process for checking and approving content or decisions before release.
Aspect Ratio,"The shape of an image or video, such as 1:1 for square social posts, 9:16 for vertical video, or 16:9 for widescreen."
Attribution,Giving credit to the creator or source of content.
Audience,The person or group the content is intended for.
Audit Trail,"A record showing what was done, when, by whom and why."
Automation,Using technology to complete a task with little or no manual effort.
Automation Bias,The tendency to trust automated outputs too much.
Best Practice,"A recommended way of doing something based on experience, standards or evidence."
Bias,"A pattern in AI output that may unfairly favour, exclude or stereotype people, groups or ideas."
Brand Guidelines,"Rules for how a brand should look and sound, including logos, colours, fonts, tone and usage."
Brand Voice,"The consistent tone, language and style a business uses in communication."
Brand Voice Block,"A saved paragraph that describes your brand’s personality, tone, words and style. You paste it into prompts so AI sounds more like your business."
Briefing Note,"A concise document explaining an issue, context, options and recommended next steps."
Campaign,A coordinated sequence of marketing activities aimed at a specific goal.
Canva,"A design platform often used to create social posts, flyers, presentations, documents and branded marketing assets."
Caption,"Text that accompanies a social media image, video or post."
Case Study,"A detailed example showing how a product, service or project solved a problem."
Causation,When one thing directly causes another.
Change Management,"Helping people and organisations adopt new processes, behaviours or technologies."
Channel,"The platform or format where content will appear, such as email, LinkedIn, Instagram, Facebook, website, Google Business Profile or flyer."
Chart,"A visual display of data, such as a bar chart, line chart or pie chart."
Chatbot,A system that interacts with users through conversation.
ChatGPT Images,"Image generation and editing inside ChatGPT, useful for creating visual concepts, mockups, graphics and iterative image edits."
Cheat Sheet,"A quick reference guide that helps people remember a process, formula or checklist."
Citation,A reference showing where information came from.
Classification,Sorting information into categories.
Cliché,"An overused phrase that makes content feel generic, such as “in today’s fast-paced world” or “ever-evolving landscape.”"
Code Generation,AI creating programming code from instructions.
Cognitive Offloading,"Using AI to reduce mental workload, such as organising notes or summarising documents."
Confidential Information,"Information that should not be shared publicly, such as private customer details, staff records, business strategy or financial data."
Consent,"Permission to use someone’s data, image, voice or information."
Constraint,"A rule or limit included in the prompt, such as word count, tone, audience, format or things to avoid."
Consumer AI,"AI tools designed for general public use, usually with fewer organisation-level controls."
Content Calendar,"A schedule of planned posts, emails, campaigns or publications."
Content Hook,The opening idea or line designed to capture attention.
Context,"The background information you give AI so it understands the task, audience, tone, goal and constraints."
Context Window,"The amount of information an AI model can consider at one time. This includes your prompt, conversation history and sometimes files."
Conversion,"When someone takes a desired action, such as signing up, booking, buying or clicking."
Copilot,An AI assistant that works alongside a human in a tool or workflow.
Copyright,Legal rights protecting original creative works. AI-generated content may still require careful rights review.
Correlation,A relationship where two things appear to move together. Correlation does not prove causation.
Creative Direction,"Guidance on the look, feel, tone and purpose of creative work."
Crisis Comms,"Communication during a serious issue, outage, controversy or emergency."
Critique Prompt,"A prompt that asks AI to find weaknesses, risks, gaps or improvements in a draft."
CTA / Call to Action,"The specific instruction at the end of marketing content telling the audience what to do next, such as “Book a call,” “Shop now,” or “Download the guide.”"
